$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0,0.06464285714285714,0.00272727272727273,3,N,True
1.0,0.06464285714285714,0.0358000789206104,3,C,True
1.0,0.07171428571428572,19.6015936254980,0,H,False
1.0,0.07171428571428572,0.0,0,S,False
1.0,0.07171428571428572,0.0180900000000001,0,N,False
1.0,0.07171428571428572,0.150000000000000,0,C,False
1.0,0.07171428571428572,19.6015936254980,1,H,True
1.0,0.07171428571428572,48.1130025353133,1,S,True
1.0,0.07171428571428572,0.0180900000000001,1,N,True
1.0,0.07171428571428572,0.00272727272727273,1,C,True
1.0,0.07171428571428572,105.290112278161,2,H,False
1.0,0.07171428571428572,70.2914403775365,2,S,False
1.0,0.07171428571428572,0.00272727272727273,2,N,False
1.0,0.07171428571428572,0.00752595413724100,2,C,False
1.0,0.07171428571428572,105.290112278161,3,H,True
1.0,0.07171428571428572,20.6750108274100,3,S,True
1.0,0.07171428571428572,0.00272727272727273,3,N,True
1.0,0.07171428571428572,0.0358000789206094,3,C,True
1.0,0.07878571428571429,28.6128739800544,0,H,False
1.0,0.07878571428571429,0.0,0,S,False
1.0,0.07878571428571429,0.0180899999999999,0,N,False
1.0,0.07878571428571429,0.150000000000000,0,C,False
1.0,0.07878571428571429,28.6128739800544,1,H,True
1.0,0.07878571428571429,70.2315997692244,1,S,True
1.0,0.07878571428571429,0.0180899999999999,1,N,True
1.0,0.07878571428571429,0.00272727272727273,1,C,True
1.0,0.07878571428571429,106.610401384653,2,H,False
1.0,0.07878571428571429,71.1728623933593,2,S,False
1.0,0.07878571428571429,0.00272727272727273,2,N,False
1.0,0.07878571428571429,0.00752595413724067,2,C,False
1.0,0.07878571428571429,106.610401384653,3,H,True
1.0,0.07878571428571429,20.9342658607777,3,S,True
1.0,0.07878571428571429,0.00272727272727273,3,N,True
1.0,0.07878571428571429,0.0358000789206112,3,C,True
1.0,0.08585714285714285,36.1397670549084,0,H,False
1.0,0.08585714285714285,0.0,0,S,False
1.0,0.08585714285714285,0.0180899999999999,0,N,False
1.0,0.08585714285714285,0.150000000000000,0,C,False
1.0,0.08585714285714285,36.1397670549084,1,H,True
1.0,0.08585714285714285,88.7067009529570,1,S,True
1.0,0.08585714285714285,0.0180899999999999,1,N,True
1.0,0.08585714285714285,0.00272727272727273,1,C,True
1.0,0.08585714285714285,107.713205263953,2,H,False
1.0,0.08585714285714285,71.9090917643116,2,S,False
1.0,0.08585714285714285,0.00272727272727273,2,N,False
1.0,0.08585714285714285,0.00752595413724058,2,C,False
1.0,0.08585714285714285,107.713205263953,3,H,True
1.0,0.08585714285714285,21.1508149901469,3,S,True
1.0,0.08585714285714285,0.00272727272727273,3,N,True
1.0,0.08585714285714285,0.0358000789206117,3,C,True
1.0,0.09292857142857143,42.5211375864719,0,H,False
1.0,0.09292857142857143,0.0,0,S,False
1.0,0.09292857142857143,0.0180900000000000,0,N,False
1.0,0.09292857142857143,0.150000000000000,0,C,False
1.0,0.09292857142857143,42.5211375864719,1,H,True
1.0,0.09292857142857143,104.370064984976,1,S,True
1.0,0.09292857142857143,0.0180900000000000,1,N,True
1.0,0.09292857142857143,0.00272727272727273,1,C,True
1.0,0.09292857142857143,108.648172734260,2,H,False
1.0,0.09292857142857143,72.5332739289209,2,S,False
1.0,0.09292857142857143,0.00272727272727273,2,N,False
1.0,0.09292857142857143,0.00752595413724088,2,C,False
1.0,0.09292857142857143,108.648172734260,3,H,True
1.0,0.09292857142857143,21.3344073726955,3,S,True
1.0,0.09292857142857143,0.00272727272727273,3,N,True
1.0,0.09292857142857143,0.0358000789206100,3,C,True
1.0,0.1,48.0000000000000,0,H,False
1.0,0.1,0.0,0,S,False
